sport;lodowisko;каток
sport;skocznia;трамплин
sport;boisko;площадка
sport;sala gimnastyczna;гимнастический зал
sport;kort;корт
sport;łyżwiarstwo;конькобежный спорт
sport;maraton;марафон
sport;piłka nożna;футбол
sport;piłka;мяч
sport;piłkarz;футболист
sport;pływanie;плаванье
sport;medal;медаль
sport;tenis;теннис
01;cechy charakteru;odważny;смелый
01;cechy charakteru;zdecydowany;решительный
01;cechy charakteru;zabawny;забавный
01;cechy charakteru;śmieszny;смешной
01;cechy charakteru;spokojny;спокойный
01;cechy charakteru;dobrze organizowany;организованный
01;cechy charakteru;głupi;глупый
01;cechy charakteru;głupia;глупая
01;cechy charakteru;powolny;медленный
01;cechy charakteru;nieśmiały;робкий
01;cechy charakteru;zarozumiały;самонадеянный
01;cechy charakteru;arogancki;наглый
01;cechy charakteru;zamknięty w sobie;замкнутый
01;cechy charakteru;nudny;скучный
01;cechy charakteru;nieciekawy;неинтересный
01;cechy charakteru;leniwy;ленивый
01;cechy charakteru;nietowarzyski;нелюдимый
01;cechy charakteru;niesympatyczny;несимпатичный
01;cechy charakteru;smutny;грустный
01;cechy charakteru;przeciętny;посредственный
01;cechy charakteru;niewrażliwy;невосприимчивый
01;cechy charakteru;zależny;зависимый
01;cechy charakteru;rozsądny;благоразумный
01;cechy charakteru;poważny;серьезный
01;cechy charakteru;nerwowy;нервный
01;cechy charakteru;roztrzepany;невнимательный, рассеянный
01;cechy charakteru;uprzejmy;вежливый
01;cechy charakteru;kontrowersyjny;спорный
01;cechy charakteru;dokładny;аккуратный
01;cechy charakteru;tolerancyjny;терпимый
01;cechy charakteru;depresyjny;депрессивный
01;cechy charakteru;zadowolony;довольный
01;cechy charakteru;uczciwy;добросовестный
02;cechy charakteru;cyniczny;циничный
02;cechy charakteru;charyzmatyczny;харизматичный
02;cechy charakteru;solidny;серьезный
02;cechy charakteru;konfliktowy;конфликтный
02;cechy charakteru;monotonny;монотонный
02;cechy charakteru;niedoświadczony;неопытный
02;cechy charakteru;niebanalny;нешаблонный
02;cechy charakteru;dystyngowany;благовоспитанный
02;zawód, praca;status społeczny;общественный статус
02;zawód, praca;konsument;потребитель
02;zawód, praca;edukacja;образование
02;zawód, praca;odżywać się;питаться
02;zawód, praca;prezenter;ведущий
02;zawód, praca;przypadkowo;случайно
02;zawód, praca;zatrudniać;давать работу
02;zawód, praca;zatrudniać się;наниматься на работу
02;zawód, praca;zanim;прежде чем, до того как
02;zawód, praca;kojarzyć się;сочетаться, ассоциироваться
02;zawód, praca;pasować;подходить
02;zawód, praca;naprawdę;действительно
